window,term,state,state_code,interest
AMC June 2021 run,AMC stock,Alabama,AL,50
AMC June 2021 run,AMC stock,Alaska,AK,72
AMC June 2021 run,AMC stock,Arizona,AZ,76
AMC June 2021 run,AMC stock,Arkansas,AR,46
AMC June 2021 run,AMC stock,California,CA,94
AMC June 2021 run,AMC stock,Colorado,CO,73
AMC June 2021 run,AMC stock,Connecticut,CT,83
AMC June 2021 run,AMC stock,Delaware,DE,57
AMC June 2021 run,AMC stock,District of Columbia,DC,69
AMC June 2021 run,AMC stock,Florida,FL,78
AMC June 2021 run,AMC stock,Georgia,GA,63
AMC June 2021 run,AMC stock,Hawaii,HI,82
AMC June 2021 run,AMC stock,Idaho,ID,54
AMC June 2021 run,AMC stock,Illinois,IL,90
AMC June 2021 run,AMC stock,Indiana,IN,61
AMC June 2021 run,AMC stock,Iowa,IA,51
AMC June 2021 run,AMC stock,Kansas,KS,63
AMC June 2021 run,AMC stock,Kentucky,KY,50
AMC June 2021 run,AMC stock,Louisiana,LA,59
AMC June 2021 run,AMC stock,Maine,ME,57
AMC June 2021 run,AMC stock,Maryland,MD,77
AMC June 2021 run,AMC stock,Massachusetts,MA,89
AMC June 2021 run,AMC stock,Michigan,MI,79
AMC June 2021 run,AMC stock,Minnesota,MN,80
AMC June 2021 run,AMC stock,Mississippi,MS,34
AMC June 2021 run,AMC stock,Missouri,MO,68
AMC June 2021 run,AMC stock,Montana,MT,57
AMC June 2021 run,AMC stock,Nebraska,NE,68
AMC June 2021 run,AMC stock,Nevada,NV,88
AMC June 2021 run,AMC stock,New Hampshire,NH,81
AMC June 2021 run,AMC stock,New Jersey,NJ,100
AMC June 2021 run,AMC stock,New Mexico,NM,49
AMC June 2021 run,AMC stock,New York,NY,73
AMC June 2021 run,AMC stock,North Carolina,NC,59
AMC June 2021 run,AMC stock,North Dakota,ND,79
AMC June 2021 run,AMC stock,Ohio,OH,66
AMC June 2021 run,AMC stock,Oklahoma,OK,49
AMC June 2021 run,AMC stock,Oregon,OR,74
AMC June 2021 run,AMC stock,Pennsylvania,PA,70
AMC June 2021 run,AMC stock,Rhode Island,RI,78
AMC June 2021 run,AMC stock,South Carolina,SC,52
AMC June 2021 run,AMC stock,South Dakota,SD,56
AMC June 2021 run,AMC stock,Tennessee,TN,53
AMC June 2021 run,AMC stock,Texas,TX,69
AMC June 2021 run,AMC stock,Utah,UT,56
AMC June 2021 run,AMC stock,Vermont,VT,80
AMC June 2021 run,AMC stock,Virginia,VA,77
AMC June 2021 run,AMC stock,Washington,WA,90
AMC June 2021 run,AMC stock,West Virginia,WV,51
AMC June 2021 run,AMC stock,Wisconsin,WI,73
AMC June 2021 run,AMC stock,Wyoming,WY,55
AMC June 2021 run,BBBY stock,Alabama,AL,0
AMC June 2021 run,BBBY stock,Alaska,AK,0
AMC June 2021 run,BBBY stock,Arizona,AZ,52
AMC June 2021 run,BBBY stock,Arkansas,AR,0
AMC June 2021 run,BBBY stock,California,CA,62
AMC June 2021 run,BBBY stock,Colorado,CO,37
AMC June 2021 run,BBBY stock,Connecticut,CT,58
AMC June 2021 run,BBBY stock,Delaware,DE,0
AMC June 2021 run,BBBY stock,District of Columbia,DC,0
AMC June 2021 run,BBBY stock,Florida,FL,52
AMC June 2021 run,BBBY stock,Georgia,GA,36
AMC June 2021 run,BBBY stock,Hawaii,HI,0
AMC June 2021 run,BBBY stock,Idaho,ID,0
AMC June 2021 run,BBBY stock,Illinois,IL,64
AMC June 2021 run,BBBY stock,Indiana,IN,20
AMC June 2021 run,BBBY stock,Iowa,IA,0
AMC June 2021 run,BBBY stock,Kansas,KS,0
AMC June 2021 run,BBBY stock,Kentucky,KY,0
AMC June 2021 run,BBBY stock,Louisiana,LA,30
AMC June 2021 run,BBBY stock,Maine,ME,0
AMC June 2021 run,BBBY stock,Maryland,MD,53
AMC June 2021 run,BBBY stock,Massachusetts,MA,78
AMC June 2021 run,BBBY stock,Michigan,MI,41
AMC June 2021 run,BBBY stock,Minnesota,MN,53
AMC June 2021 run,BBBY stock,Mississippi,MS,0
AMC June 2021 run,BBBY stock,Missouri,MO,33
AMC June 2021 run,BBBY stock,Montana,MT,0
AMC June 2021 run,BBBY stock,Nebraska,NE,100
AMC June 2021 run,BBBY stock,Nevada,NV,47
AMC June 2021 run,BBBY stock,New Hampshire,NH,0
AMC June 2021 run,BBBY stock,New Jersey,NJ,99
AMC June 2021 run,BBBY stock,New Mexico,NM,0
AMC June 2021 run,BBBY stock,New York,NY,68
AMC June 2021 run,BBBY stock,North Carolina,NC,50
AMC June 2021 run,BBBY stock,North Dakota,ND,0
AMC June 2021 run,BBBY stock,Ohio,OH,36
AMC June 2021 run,BBBY stock,Oklahoma,OK,0
AMC June 2021 run,BBBY stock,Oregon,OR,61
AMC June 2021 run,BBBY stock,Pennsylvania,PA,45
AMC June 2021 run,BBBY stock,Rhode Island,RI,0
AMC June 2021 run,BBBY stock,South Carolina,SC,38
