window,term,state,state_code,interest
AMC June 2021 run,GameStop,Alabama,AL,88
AMC June 2021 run,GameStop,Alaska,AK,84
AMC June 2021 run,GameStop,Arizona,AZ,93
AMC June 2021 run,GameStop,Arkansas,AR,77
AMC June 2021 run,GameStop,California,CA,92
AMC June 2021 run,GameStop,Colorado,CO,71
AMC June 2021 run,GameStop,Connecticut,CT,74
AMC June 2021 run,GameStop,Delaware,DE,90
AMC June 2021 run,GameStop,District of Columbia,DC,52
AMC June 2021 run,GameStop,Florida,FL,83
AMC June 2021 run,GameStop,Georgia,GA,89
AMC June 2021 run,GameStop,Hawaii,HI,80
AMC June 2021 run,GameStop,Idaho,ID,82
AMC June 2021 run,GameStop,Illinois,IL,83
AMC June 2021 run,GameStop,Indiana,IN,83
AMC June 2021 run,GameStop,Iowa,IA,71
AMC June 2021 run,GameStop,Kansas,KS,81
AMC June 2021 run,GameStop,Kentucky,KY,100
AMC June 2021 run,GameStop,Louisiana,LA,91
AMC June 2021 run,GameStop,Maine,ME,70
AMC June 2021 run,GameStop,Maryland,MD,77
AMC June 2021 run,GameStop,Massachusetts,MA,71
AMC June 2021 run,GameStop,Michigan,MI,81
AMC June 2021 run,GameStop,Minnesota,MN,60
AMC June 2021 run,GameStop,Mississippi,MS,94
AMC June 2021 run,GameStop,Missouri,MO,72
AMC June 2021 run,GameStop,Montana,MT,75
AMC June 2021 run,GameStop,Nebraska,NE,69
AMC June 2021 run,GameStop,Nevada,NV,87
AMC June 2021 run,GameStop,New Hampshire,NH,82
AMC June 2021 run,GameStop,New Jersey,NJ,77
AMC June 2021 run,GameStop,New Mexico,NM,94
AMC June 2021 run,GameStop,New York,NY,73
AMC June 2021 run,GameStop,North Carolina,NC,94
AMC June 2021 run,GameStop,North Dakota,ND,75
AMC June 2021 run,GameStop,Ohio,OH,94
AMC June 2021 run,GameStop,Oklahoma,OK,85
AMC June 2021 run,GameStop,Oregon,OR,70
AMC June 2021 run,GameStop,Pennsylvania,PA,87
AMC June 2021 run,GameStop,Rhode Island,RI,91
AMC June 2021 run,GameStop,South Carolina,SC,84
AMC June 2021 run,GameStop,South Dakota,SD,62
AMC June 2021 run,GameStop,Tennessee,TN,85
AMC June 2021 run,GameStop,Texas,TX,95
AMC June 2021 run,GameStop,Utah,UT,73
AMC June 2021 run,GameStop,Vermont,VT,69
AMC June 2021 run,GameStop,Virginia,VA,86
AMC June 2021 run,GameStop,Washington,WA,83
AMC June 2021 run,GameStop,West Virginia,WV,96
AMC June 2021 run,GameStop,Wisconsin,WI,71
AMC June 2021 run,GameStop,Wyoming,WY,71
