window,term,state,state_code,interest
AMC June 2021 run,WallStreetBets,Alabama,AL,38
AMC June 2021 run,WallStreetBets,Alaska,AK,0
AMC June 2021 run,WallStreetBets,Arizona,AZ,53
AMC June 2021 run,WallStreetBets,Arkansas,AR,39
AMC June 2021 run,WallStreetBets,California,CA,59
AMC June 2021 run,WallStreetBets,Colorado,CO,57
AMC June 2021 run,WallStreetBets,Connecticut,CT,61
AMC June 2021 run,WallStreetBets,Delaware,DE,48
AMC June 2021 run,WallStreetBets,District of Columbia,DC,57
AMC June 2021 run,WallStreetBets,Florida,FL,57
AMC June 2021 run,WallStreetBets,Georgia,GA,49
AMC June 2021 run,WallStreetBets,Hawaii,HI,100
AMC June 2021 run,WallStreetBets,Idaho,ID,47
AMC June 2021 run,WallStreetBets,Illinois,IL,53
AMC June 2021 run,WallStreetBets,Indiana,IN,45
AMC June 2021 run,WallStreetBets,Iowa,IA,47
AMC June 2021 run,WallStreetBets,Kansas,KS,37
AMC June 2021 run,WallStreetBets,Kentucky,KY,44
AMC June 2021 run,WallStreetBets,Louisiana,LA,54
AMC June 2021 run,WallStreetBets,Maine,ME,51
AMC June 2021 run,WallStreetBets,Maryland,MD,59
AMC June 2021 run,WallStreetBets,Massachusetts,MA,61
AMC June 2021 run,WallStreetBets,Michigan,MI,59
AMC June 2021 run,WallStreetBets,Minnesota,MN,59
AMC June 2021 run,WallStreetBets,Mississippi,MS,37
AMC June 2021 run,WallStreetBets,Missouri,MO,47
AMC June 2021 run,WallStreetBets,Montana,MT,56
AMC June 2021 run,WallStreetBets,Nebraska,NE,59
AMC June 2021 run,WallStreetBets,Nevada,NV,62
AMC June 2021 run,WallStreetBets,New Hampshire,NH,56
AMC June 2021 run,WallStreetBets,New Jersey,NJ,71
AMC June 2021 run,WallStreetBets,New Mexico,NM,60
AMC June 2021 run,WallStreetBets,New York,NY,57
AMC June 2021 run,WallStreetBets,North Carolina,NC,52
AMC June 2021 run,WallStreetBets,North Dakota,ND,73
AMC June 2021 run,WallStreetBets,Ohio,OH,49
AMC June 2021 run,WallStreetBets,Oklahoma,OK,40
AMC June 2021 run,WallStreetBets,Oregon,OR,60
AMC June 2021 run,WallStreetBets,Pennsylvania,PA,58
AMC June 2021 run,WallStreetBets,Rhode Island,RI,77
AMC June 2021 run,WallStreetBets,South Carolina,SC,53
AMC June 2021 run,WallStreetBets,South Dakota,SD,37
AMC June 2021 run,WallStreetBets,Tennessee,TN,53
AMC June 2021 run,WallStreetBets,Texas,TX,47
AMC June 2021 run,WallStreetBets,Utah,UT,46
AMC June 2021 run,WallStreetBets,Vermont,VT,64
AMC June 2021 run,WallStreetBets,Virginia,VA,64
AMC June 2021 run,WallStreetBets,Washington,WA,77
AMC June 2021 run,WallStreetBets,West Virginia,WV,47
AMC June 2021 run,WallStreetBets,Wisconsin,WI,45
AMC June 2021 run,WallStreetBets,Wyoming,WY,0
