window,term,state,state_code,interest
BBBY August 2022 squeeze,AMC stock,Alabama,AL,62
BBBY August 2022 squeeze,AMC stock,Alaska,AK,83
BBBY August 2022 squeeze,AMC stock,Arizona,AZ,70
BBBY August 2022 squeeze,AMC stock,Arkansas,AR,40
BBBY August 2022 squeeze,AMC stock,California,CA,99
BBBY August 2022 squeeze,AMC stock,Colorado,CO,74
BBBY August 2022 squeeze,AMC stock,Connecticut,CT,84
BBBY August 2022 squeeze,AMC stock,Delaware,DE,74
BBBY August 2022 squeeze,AMC stock,District of Columbia,DC,53
BBBY August 2022 squeeze,AMC stock,Florida,FL,87
BBBY August 2022 squeeze,AMC stock,Georgia,GA,60
BBBY August 2022 squeeze,AMC stock,Hawaii,HI,99
BBBY August 2022 squeeze,AMC stock,Idaho,ID,57
BBBY August 2022 squeeze,AMC stock,Illinois,IL,100
BBBY August 2022 squeeze,AMC stock,Indiana,IN,74
BBBY August 2022 squeeze,AMC stock,Iowa,IA,60
BBBY August 2022 squeeze,AMC stock,Kansas,KS,86
BBBY August 2022 squeeze,AMC stock,Kentucky,KY,50
BBBY August 2022 squeeze,AMC stock,Louisiana,LA,59
BBBY August 2022 squeeze,AMC stock,Maine,ME,74
BBBY August 2022 squeeze,AMC stock,Maryland,MD,76
BBBY August 2022 squeeze,AMC stock,Massachusetts,MA,80
BBBY August 2022 squeeze,AMC stock,Michigan,MI,73
BBBY August 2022 squeeze,AMC stock,Minnesota,MN,94
BBBY August 2022 squeeze,AMC stock,Mississippi,MS,36
BBBY August 2022 squeeze,AMC stock,Missouri,MO,74
BBBY August 2022 squeeze,AMC stock,Montana,MT,56
BBBY August 2022 squeeze,AMC stock,Nebraska,NE,65
BBBY August 2022 squeeze,AMC stock,Nevada,NV,100
BBBY August 2022 squeeze,AMC stock,New Hampshire,NH,92
BBBY August 2022 squeeze,AMC stock,New Jersey,NJ,91
BBBY August 2022 squeeze,AMC stock,New Mexico,NM,65
BBBY August 2022 squeeze,AMC stock,New York,NY,74
BBBY August 2022 squeeze,AMC stock,North Carolina,NC,55
BBBY August 2022 squeeze,AMC stock,North Dakota,ND,100
BBBY August 2022 squeeze,AMC stock,Ohio,OH,63
BBBY August 2022 squeeze,AMC stock,Oklahoma,OK,55
BBBY August 2022 squeeze,AMC stock,Oregon,OR,76
BBBY August 2022 squeeze,AMC stock,Pennsylvania,PA,77
BBBY August 2022 squeeze,AMC stock,Rhode Island,RI,59
BBBY August 2022 squeeze,AMC stock,South Carolina,SC,57
BBBY August 2022 squeeze,AMC stock,South Dakota,SD,58
BBBY August 2022 squeeze,AMC stock,Tennessee,TN,61
BBBY August 2022 squeeze,AMC stock,Texas,TX,71
BBBY August 2022 squeeze,AMC stock,Utah,UT,59
BBBY August 2022 squeeze,AMC stock,Vermont,VT,54
BBBY August 2022 squeeze,AMC stock,Virginia,VA,64
BBBY August 2022 squeeze,AMC stock,Washington,WA,82
BBBY August 2022 squeeze,AMC stock,West Virginia,WV,54
BBBY August 2022 squeeze,AMC stock,Wisconsin,WI,83
BBBY August 2022 squeeze,AMC stock,Wyoming,WY,76
