window,term,state,state_code,interest
BBBY August 2022 squeeze,BBBY stock,Alabama,AL,41
BBBY August 2022 squeeze,BBBY stock,Alaska,AK,84
BBBY August 2022 squeeze,BBBY stock,Arizona,AZ,66
BBBY August 2022 squeeze,BBBY stock,Arkansas,AR,44
BBBY August 2022 squeeze,BBBY stock,California,CA,97
BBBY August 2022 squeeze,BBBY stock,Colorado,CO,78
BBBY August 2022 squeeze,BBBY stock,Connecticut,CT,88
BBBY August 2022 squeeze,BBBY stock,Delaware,DE,55
BBBY August 2022 squeeze,BBBY stock,District of Columbia,DC,91
BBBY August 2022 squeeze,BBBY stock,Florida,FL,66
BBBY August 2022 squeeze,BBBY stock,Georgia,GA,58
BBBY August 2022 squeeze,BBBY stock,Hawaii,HI,77
BBBY August 2022 squeeze,BBBY stock,Idaho,ID,53
BBBY August 2022 squeeze,BBBY stock,Illinois,IL,78
BBBY August 2022 squeeze,BBBY stock,Indiana,IN,58
BBBY August 2022 squeeze,BBBY stock,Iowa,IA,53
BBBY August 2022 squeeze,BBBY stock,Kansas,KS,57
BBBY August 2022 squeeze,BBBY stock,Kentucky,KY,39
BBBY August 2022 squeeze,BBBY stock,Louisiana,LA,40
BBBY August 2022 squeeze,BBBY stock,Maine,ME,75
BBBY August 2022 squeeze,BBBY stock,Maryland,MD,83
BBBY August 2022 squeeze,BBBY stock,Massachusetts,MA,97
BBBY August 2022 squeeze,BBBY stock,Michigan,MI,75
BBBY August 2022 squeeze,BBBY stock,Minnesota,MN,88
BBBY August 2022 squeeze,BBBY stock,Mississippi,MS,28
BBBY August 2022 squeeze,BBBY stock,Missouri,MO,59
BBBY August 2022 squeeze,BBBY stock,Montana,MT,72
BBBY August 2022 squeeze,BBBY stock,Nebraska,NE,73
BBBY August 2022 squeeze,BBBY stock,Nevada,NV,77
BBBY August 2022 squeeze,BBBY stock,New Hampshire,NH,73
BBBY August 2022 squeeze,BBBY stock,New Jersey,NJ,99
BBBY August 2022 squeeze,BBBY stock,New Mexico,NM,64
BBBY August 2022 squeeze,BBBY stock,New York,NY,89
BBBY August 2022 squeeze,BBBY stock,North Carolina,NC,62
BBBY August 2022 squeeze,BBBY stock,North Dakota,ND,71
BBBY August 2022 squeeze,BBBY stock,Ohio,OH,55
BBBY August 2022 squeeze,BBBY stock,Oklahoma,OK,46
BBBY August 2022 squeeze,BBBY stock,Oregon,OR,80
BBBY August 2022 squeeze,BBBY stock,Pennsylvania,PA,72
BBBY August 2022 squeeze,BBBY stock,Rhode Island,RI,82
BBBY August 2022 squeeze,BBBY stock,South Carolina,SC,52
BBBY August 2022 squeeze,BBBY stock,South Dakota,SD,46
BBBY August 2022 squeeze,BBBY stock,Tennessee,TN,51
BBBY August 2022 squeeze,BBBY stock,Texas,TX,68
BBBY August 2022 squeeze,BBBY stock,Utah,UT,68
BBBY August 2022 squeeze,BBBY stock,Vermont,VT,56
BBBY August 2022 squeeze,BBBY stock,Virginia,VA,65
BBBY August 2022 squeeze,BBBY stock,Washington,WA,100
BBBY August 2022 squeeze,BBBY stock,West Virginia,WV,35
BBBY August 2022 squeeze,BBBY stock,Wisconsin,WI,81
BBBY August 2022 squeeze,BBBY stock,Wyoming,WY,75
