window,term,state,state_code,interest
BBBY August 2022 squeeze,GameStop,Alabama,AL,73
BBBY August 2022 squeeze,GameStop,Alaska,AK,54
BBBY August 2022 squeeze,GameStop,Arizona,AZ,64
BBBY August 2022 squeeze,GameStop,Arkansas,AR,63
BBBY August 2022 squeeze,GameStop,California,CA,67
BBBY August 2022 squeeze,GameStop,Colorado,CO,50
BBBY August 2022 squeeze,GameStop,Connecticut,CT,62
BBBY August 2022 squeeze,GameStop,Delaware,DE,91
BBBY August 2022 squeeze,GameStop,District of Columbia,DC,40
BBBY August 2022 squeeze,GameStop,Florida,FL,70
BBBY August 2022 squeeze,GameStop,Georgia,GA,74
BBBY August 2022 squeeze,GameStop,Hawaii,HI,59
BBBY August 2022 squeeze,GameStop,Idaho,ID,61
BBBY August 2022 squeeze,GameStop,Illinois,IL,67
BBBY August 2022 squeeze,GameStop,Indiana,IN,73
BBBY August 2022 squeeze,GameStop,Iowa,IA,57
BBBY August 2022 squeeze,GameStop,Kansas,KS,63
BBBY August 2022 squeeze,GameStop,Kentucky,KY,84
BBBY August 2022 squeeze,GameStop,Louisiana,LA,77
BBBY August 2022 squeeze,GameStop,Maine,ME,50
BBBY August 2022 squeeze,GameStop,Maryland,MD,69
BBBY August 2022 squeeze,GameStop,Massachusetts,MA,59
BBBY August 2022 squeeze,GameStop,Michigan,MI,67
BBBY August 2022 squeeze,GameStop,Minnesota,MN,48
BBBY August 2022 squeeze,GameStop,Mississippi,MS,91
BBBY August 2022 squeeze,GameStop,Missouri,MO,63
BBBY August 2022 squeeze,GameStop,Montana,MT,51
BBBY August 2022 squeeze,GameStop,Nebraska,NE,61
BBBY August 2022 squeeze,GameStop,Nevada,NV,67
BBBY August 2022 squeeze,GameStop,New Hampshire,NH,68
BBBY August 2022 squeeze,GameStop,New Jersey,NJ,68
BBBY August 2022 squeeze,GameStop,New Mexico,NM,79
BBBY August 2022 squeeze,GameStop,New York,NY,62
BBBY August 2022 squeeze,GameStop,North Carolina,NC,79
BBBY August 2022 squeeze,GameStop,North Dakota,ND,57
BBBY August 2022 squeeze,GameStop,Ohio,OH,86
BBBY August 2022 squeeze,GameStop,Oklahoma,OK,64
BBBY August 2022 squeeze,GameStop,Oregon,OR,54
BBBY August 2022 squeeze,GameStop,Pennsylvania,PA,78
BBBY August 2022 squeeze,GameStop,Rhode Island,RI,70
BBBY August 2022 squeeze,GameStop,South Carolina,SC,84
BBBY August 2022 squeeze,GameStop,South Dakota,SD,45
BBBY August 2022 squeeze,GameStop,Tennessee,TN,77
BBBY August 2022 squeeze,GameStop,Texas,TX,76
BBBY August 2022 squeeze,GameStop,Utah,UT,52
BBBY August 2022 squeeze,GameStop,Vermont,VT,50
BBBY August 2022 squeeze,GameStop,Virginia,VA,65
BBBY August 2022 squeeze,GameStop,Washington,WA,62
BBBY August 2022 squeeze,GameStop,West Virginia,WV,100
BBBY August 2022 squeeze,GameStop,Wisconsin,WI,56
BBBY August 2022 squeeze,GameStop,Wyoming,WY,53
