window,term,state,state_code,interest
BBBY August 2022 squeeze,WallStreetBets,Alabama,AL,32
BBBY August 2022 squeeze,WallStreetBets,Alaska,AK,0
BBBY August 2022 squeeze,WallStreetBets,Arizona,AZ,46
BBBY August 2022 squeeze,WallStreetBets,Arkansas,AR,26
BBBY August 2022 squeeze,WallStreetBets,California,CA,54
BBBY August 2022 squeeze,WallStreetBets,Colorado,CO,42
BBBY August 2022 squeeze,WallStreetBets,Connecticut,CT,52
BBBY August 2022 squeeze,WallStreetBets,Delaware,DE,0
BBBY August 2022 squeeze,WallStreetBets,District of Columbia,DC,0
BBBY August 2022 squeeze,WallStreetBets,Florida,FL,47
BBBY August 2022 squeeze,WallStreetBets,Georgia,GA,37
BBBY August 2022 squeeze,WallStreetBets,Hawaii,HI,68
BBBY August 2022 squeeze,WallStreetBets,Idaho,ID,36
BBBY August 2022 squeeze,WallStreetBets,Illinois,IL,54
BBBY August 2022 squeeze,WallStreetBets,Indiana,IN,29
BBBY August 2022 squeeze,WallStreetBets,Iowa,IA,29
BBBY August 2022 squeeze,WallStreetBets,Kansas,KS,40
BBBY August 2022 squeeze,WallStreetBets,Kentucky,KY,21
BBBY August 2022 squeeze,WallStreetBets,Louisiana,LA,32
BBBY August 2022 squeeze,WallStreetBets,Maine,ME,34
BBBY August 2022 squeeze,WallStreetBets,Maryland,MD,44
BBBY August 2022 squeeze,WallStreetBets,Massachusetts,MA,52
BBBY August 2022 squeeze,WallStreetBets,Michigan,MI,49
BBBY August 2022 squeeze,WallStreetBets,Minnesota,MN,53
BBBY August 2022 squeeze,WallStreetBets,Mississippi,MS,0
BBBY August 2022 squeeze,WallStreetBets,Missouri,MO,35
BBBY August 2022 squeeze,WallStreetBets,Montana,MT,0
BBBY August 2022 squeeze,WallStreetBets,Nebraska,NE,31
BBBY August 2022 squeeze,WallStreetBets,Nevada,NV,56
BBBY August 2022 squeeze,WallStreetBets,New Hampshire,NH,37
BBBY August 2022 squeeze,WallStreetBets,New Jersey,NJ,42
BBBY August 2022 squeeze,WallStreetBets,New Mexico,NM,57
BBBY August 2022 squeeze,WallStreetBets,New York,NY,51
BBBY August 2022 squeeze,WallStreetBets,North Carolina,NC,32
BBBY August 2022 squeeze,WallStreetBets,North Dakota,ND,0
BBBY August 2022 squeeze,WallStreetBets,Ohio,OH,30
BBBY August 2022 squeeze,WallStreetBets,Oklahoma,OK,29
BBBY August 2022 squeeze,WallStreetBets,Oregon,OR,51
BBBY August 2022 squeeze,WallStreetBets,Pennsylvania,PA,52
BBBY August 2022 squeeze,WallStreetBets,Rhode Island,RI,0
BBBY August 2022 squeeze,WallStreetBets,South Carolina,SC,40
BBBY August 2022 squeeze,WallStreetBets,South Dakota,SD,0
BBBY August 2022 squeeze,WallStreetBets,Tennessee,TN,49
BBBY August 2022 squeeze,WallStreetBets,Texas,TX,36
BBBY August 2022 squeeze,WallStreetBets,Utah,UT,62
BBBY August 2022 squeeze,WallStreetBets,Vermont,VT,0
BBBY August 2022 squeeze,WallStreetBets,Virginia,VA,49
BBBY August 2022 squeeze,WallStreetBets,Washington,WA,68
BBBY August 2022 squeeze,WallStreetBets,West Virginia,WV,0
BBBY August 2022 squeeze,WallStreetBets,Wisconsin,WI,42
BBBY August 2022 squeeze,WallStreetBets,Wyoming,WY,100
