window,term,state,state_code,interest
BBBY bankruptcy,AMC stock,Alabama,AL,77
BBBY bankruptcy,AMC stock,Alaska,AK,66
BBBY bankruptcy,AMC stock,Arizona,AZ,82
BBBY bankruptcy,AMC stock,Arkansas,AR,67
BBBY bankruptcy,AMC stock,California,CA,82
BBBY bankruptcy,AMC stock,Colorado,CO,67
BBBY bankruptcy,AMC stock,Connecticut,CT,58
BBBY bankruptcy,AMC stock,Delaware,DE,63
BBBY bankruptcy,AMC stock,District of Columbia,DC,42
BBBY bankruptcy,AMC stock,Florida,FL,72
BBBY bankruptcy,AMC stock,Georgia,GA,58
BBBY bankruptcy,AMC stock,Hawaii,HI,73
BBBY bankruptcy,AMC stock,Idaho,ID,46
BBBY bankruptcy,AMC stock,Illinois,IL,90
BBBY bankruptcy,AMC stock,Indiana,IN,64
BBBY bankruptcy,AMC stock,Iowa,IA,64
BBBY bankruptcy,AMC stock,Kansas,KS,94
BBBY bankruptcy,AMC stock,Kentucky,KY,67
BBBY bankruptcy,AMC stock,Louisiana,LA,52
BBBY bankruptcy,AMC stock,Maine,ME,61
BBBY bankruptcy,AMC stock,Maryland,MD,80
BBBY bankruptcy,AMC stock,Massachusetts,MA,71
BBBY bankruptcy,AMC stock,Michigan,MI,79
BBBY bankruptcy,AMC stock,Minnesota,MN,88
BBBY bankruptcy,AMC stock,Mississippi,MS,37
BBBY bankruptcy,AMC stock,Missouri,MO,63
BBBY bankruptcy,AMC stock,Montana,MT,40
BBBY bankruptcy,AMC stock,Nebraska,NE,72
BBBY bankruptcy,AMC stock,Nevada,NV,87
BBBY bankruptcy,AMC stock,New Hampshire,NH,75
BBBY bankruptcy,AMC stock,New Jersey,NJ,100
BBBY bankruptcy,AMC stock,New Mexico,NM,60
BBBY bankruptcy,AMC stock,New York,NY,69
BBBY bankruptcy,AMC stock,North Carolina,NC,57
BBBY bankruptcy,AMC stock,North Dakota,ND,99
BBBY bankruptcy,AMC stock,Ohio,OH,65
BBBY bankruptcy,AMC stock,Oklahoma,OK,62
BBBY bankruptcy,AMC stock,Oregon,OR,58
BBBY bankruptcy,AMC stock,Pennsylvania,PA,75
BBBY bankruptcy,AMC stock,Rhode Island,RI,51
BBBY bankruptcy,AMC stock,South Carolina,SC,57
BBBY bankruptcy,AMC stock,South Dakota,SD,57
BBBY bankruptcy,AMC stock,Tennessee,TN,57
BBBY bankruptcy,AMC stock,Texas,TX,58
BBBY bankruptcy,AMC stock,Utah,UT,48
BBBY bankruptcy,AMC stock,Vermont,VT,35
BBBY bankruptcy,AMC stock,Virginia,VA,81
BBBY bankruptcy,AMC stock,Washington,WA,88
BBBY bankruptcy,AMC stock,West Virginia,WV,38
BBBY bankruptcy,AMC stock,Wisconsin,WI,91
BBBY bankruptcy,AMC stock,Wyoming,WY,77
