window,term,state,state_code,interest
BBBY bankruptcy,BBBY stock,Alabama,AL,58
BBBY bankruptcy,BBBY stock,Alaska,AK,81
BBBY bankruptcy,BBBY stock,Arizona,AZ,60
BBBY bankruptcy,BBBY stock,Arkansas,AR,34
BBBY bankruptcy,BBBY stock,California,CA,75
BBBY bankruptcy,BBBY stock,Colorado,CO,58
BBBY bankruptcy,BBBY stock,Connecticut,CT,83
BBBY bankruptcy,BBBY stock,Delaware,DE,0
BBBY bankruptcy,BBBY stock,District of Columbia,DC,67
BBBY bankruptcy,BBBY stock,Florida,FL,72
BBBY bankruptcy,BBBY stock,Georgia,GA,49
BBBY bankruptcy,BBBY stock,Hawaii,HI,58
BBBY bankruptcy,BBBY stock,Idaho,ID,50
BBBY bankruptcy,BBBY stock,Illinois,IL,74
BBBY bankruptcy,BBBY stock,Indiana,IN,54
BBBY bankruptcy,BBBY stock,Iowa,IA,52
BBBY bankruptcy,BBBY stock,Kansas,KS,53
BBBY bankruptcy,BBBY stock,Kentucky,KY,39
BBBY bankruptcy,BBBY stock,Louisiana,LA,31
BBBY bankruptcy,BBBY stock,Maine,ME,82
BBBY bankruptcy,BBBY stock,Maryland,MD,86
BBBY bankruptcy,BBBY stock,Massachusetts,MA,79
BBBY bankruptcy,BBBY stock,Michigan,MI,61
BBBY bankruptcy,BBBY stock,Minnesota,MN,51
BBBY bankruptcy,BBBY stock,Mississippi,MS,20
BBBY bankruptcy,BBBY stock,Missouri,MO,62
BBBY bankruptcy,BBBY stock,Montana,MT,0
BBBY bankruptcy,BBBY stock,Nebraska,NE,60
BBBY bankruptcy,BBBY stock,Nevada,NV,73
BBBY bankruptcy,BBBY stock,New Hampshire,NH,67
BBBY bankruptcy,BBBY stock,New Jersey,NJ,100
BBBY bankruptcy,BBBY stock,New Mexico,NM,41
BBBY bankruptcy,BBBY stock,New York,NY,72
BBBY bankruptcy,BBBY stock,North Carolina,NC,63
BBBY bankruptcy,BBBY stock,North Dakota,ND,99
BBBY bankruptcy,BBBY stock,Ohio,OH,49
BBBY bankruptcy,BBBY stock,Oklahoma,OK,44
BBBY bankruptcy,BBBY stock,Oregon,OR,50
BBBY bankruptcy,BBBY stock,Pennsylvania,PA,66
BBBY bankruptcy,BBBY stock,Rhode Island,RI,89
BBBY bankruptcy,BBBY stock,South Carolina,SC,40
BBBY bankruptcy,BBBY stock,South Dakota,SD,0
BBBY bankruptcy,BBBY stock,Tennessee,TN,39
BBBY bankruptcy,BBBY stock,Texas,TX,62
BBBY bankruptcy,BBBY stock,Utah,UT,31
BBBY bankruptcy,BBBY stock,Vermont,VT,97
BBBY bankruptcy,BBBY stock,Virginia,VA,50
BBBY bankruptcy,BBBY stock,Washington,WA,73
BBBY bankruptcy,BBBY stock,West Virginia,WV,35
BBBY bankruptcy,BBBY stock,Wisconsin,WI,87
BBBY bankruptcy,BBBY stock,Wyoming,WY,0
