window,term,state,state_code,interest
BBBY bankruptcy,GameStop,Alabama,AL,73
BBBY bankruptcy,GameStop,Alaska,AK,64
BBBY bankruptcy,GameStop,Arizona,AZ,66
BBBY bankruptcy,GameStop,Arkansas,AR,66
BBBY bankruptcy,GameStop,California,CA,64
BBBY bankruptcy,GameStop,Colorado,CO,51
BBBY bankruptcy,GameStop,Connecticut,CT,63
BBBY bankruptcy,GameStop,Delaware,DE,79
BBBY bankruptcy,GameStop,District of Columbia,DC,30
BBBY bankruptcy,GameStop,Florida,FL,60
BBBY bankruptcy,GameStop,Georgia,GA,70
BBBY bankruptcy,GameStop,Hawaii,HI,55
BBBY bankruptcy,GameStop,Idaho,ID,70
BBBY bankruptcy,GameStop,Illinois,IL,66
BBBY bankruptcy,GameStop,Indiana,IN,73
BBBY bankruptcy,GameStop,Iowa,IA,60
BBBY bankruptcy,GameStop,Kansas,KS,63
BBBY bankruptcy,GameStop,Kentucky,KY,87
BBBY bankruptcy,GameStop,Louisiana,LA,77
BBBY bankruptcy,GameStop,Maine,ME,54
BBBY bankruptcy,GameStop,Maryland,MD,60
BBBY bankruptcy,GameStop,Massachusetts,MA,51
BBBY bankruptcy,GameStop,Michigan,MI,73
BBBY bankruptcy,GameStop,Minnesota,MN,47
BBBY bankruptcy,GameStop,Mississippi,MS,87
BBBY bankruptcy,GameStop,Missouri,MO,62
BBBY bankruptcy,GameStop,Montana,MT,66
BBBY bankruptcy,GameStop,Nebraska,NE,61
BBBY bankruptcy,GameStop,Nevada,NV,70
BBBY bankruptcy,GameStop,New Hampshire,NH,66
BBBY bankruptcy,GameStop,New Jersey,NJ,63
BBBY bankruptcy,GameStop,New Mexico,NM,86
BBBY bankruptcy,GameStop,New York,NY,58
BBBY bankruptcy,GameStop,North Carolina,NC,69
BBBY bankruptcy,GameStop,North Dakota,ND,60
BBBY bankruptcy,GameStop,Ohio,OH,93
BBBY bankruptcy,GameStop,Oklahoma,OK,72
BBBY bankruptcy,GameStop,Oregon,OR,62
BBBY bankruptcy,GameStop,Pennsylvania,PA,81
BBBY bankruptcy,GameStop,Rhode Island,RI,72
BBBY bankruptcy,GameStop,South Carolina,SC,69
BBBY bankruptcy,GameStop,South Dakota,SD,48
BBBY bankruptcy,GameStop,Tennessee,TN,76
BBBY bankruptcy,GameStop,Texas,TX,74
BBBY bankruptcy,GameStop,Utah,UT,61
BBBY bankruptcy,GameStop,Vermont,VT,52
BBBY bankruptcy,GameStop,Virginia,VA,63
BBBY bankruptcy,GameStop,Washington,WA,63
BBBY bankruptcy,GameStop,West Virginia,WV,100
BBBY bankruptcy,GameStop,Wisconsin,WI,57
BBBY bankruptcy,GameStop,Wyoming,WY,47
