window,term,state,state_code,interest
BBBY bankruptcy,WallStreetBets,Alabama,AL,25
BBBY bankruptcy,WallStreetBets,Alaska,AK,0
BBBY bankruptcy,WallStreetBets,Arizona,AZ,54
BBBY bankruptcy,WallStreetBets,Arkansas,AR,52
BBBY bankruptcy,WallStreetBets,California,CA,59
BBBY bankruptcy,WallStreetBets,Colorado,CO,45
BBBY bankruptcy,WallStreetBets,Connecticut,CT,39
BBBY bankruptcy,WallStreetBets,Delaware,DE,0
BBBY bankruptcy,WallStreetBets,District of Columbia,DC,0
BBBY bankruptcy,WallStreetBets,Florida,FL,47
BBBY bankruptcy,WallStreetBets,Georgia,GA,25
BBBY bankruptcy,WallStreetBets,Hawaii,HI,0
BBBY bankruptcy,WallStreetBets,Idaho,ID,0
BBBY bankruptcy,WallStreetBets,Illinois,IL,38
BBBY bankruptcy,WallStreetBets,Indiana,IN,39
BBBY bankruptcy,WallStreetBets,Iowa,IA,0
BBBY bankruptcy,WallStreetBets,Kansas,KS,59
BBBY bankruptcy,WallStreetBets,Kentucky,KY,0
BBBY bankruptcy,WallStreetBets,Louisiana,LA,30
BBBY bankruptcy,WallStreetBets,Maine,ME,0
BBBY bankruptcy,WallStreetBets,Maryland,MD,31
BBBY bankruptcy,WallStreetBets,Massachusetts,MA,44
BBBY bankruptcy,WallStreetBets,Michigan,MI,57
BBBY bankruptcy,WallStreetBets,Minnesota,MN,46
BBBY bankruptcy,WallStreetBets,Mississippi,MS,0
BBBY bankruptcy,WallStreetBets,Missouri,MO,39
BBBY bankruptcy,WallStreetBets,Montana,MT,0
BBBY bankruptcy,WallStreetBets,Nebraska,NE,67
BBBY bankruptcy,WallStreetBets,Nevada,NV,60
BBBY bankruptcy,WallStreetBets,New Hampshire,NH,100
BBBY bankruptcy,WallStreetBets,New Jersey,NJ,33
BBBY bankruptcy,WallStreetBets,New Mexico,NM,0
BBBY bankruptcy,WallStreetBets,New York,NY,51
BBBY bankruptcy,WallStreetBets,North Carolina,NC,32
BBBY bankruptcy,WallStreetBets,North Dakota,ND,0
BBBY bankruptcy,WallStreetBets,Ohio,OH,33
BBBY bankruptcy,WallStreetBets,Oklahoma,OK,47
BBBY bankruptcy,WallStreetBets,Oregon,OR,48
BBBY bankruptcy,WallStreetBets,Pennsylvania,PA,44
BBBY bankruptcy,WallStreetBets,Rhode Island,RI,0
BBBY bankruptcy,WallStreetBets,South Carolina,SC,36
BBBY bankruptcy,WallStreetBets,South Dakota,SD,0
BBBY bankruptcy,WallStreetBets,Tennessee,TN,28
BBBY bankruptcy,WallStreetBets,Texas,TX,33
BBBY bankruptcy,WallStreetBets,Utah,UT,0
BBBY bankruptcy,WallStreetBets,Vermont,VT,0
BBBY bankruptcy,WallStreetBets,Virginia,VA,32
BBBY bankruptcy,WallStreetBets,Washington,WA,98
BBBY bankruptcy,WallStreetBets,West Virginia,WV,0
BBBY bankruptcy,WallStreetBets,Wisconsin,WI,45
BBBY bankruptcy,WallStreetBets,Wyoming,WY,0
