window,term,state,state_code,interest
Full range,AMC stock,Alabama,AL,57
Full range,AMC stock,Alaska,AK,77
Full range,AMC stock,Arizona,AZ,79
Full range,AMC stock,Arkansas,AR,53
Full range,AMC stock,California,CA,90
Full range,AMC stock,Colorado,CO,78
Full range,AMC stock,Connecticut,CT,86
Full range,AMC stock,Delaware,DE,67
Full range,AMC stock,District of Columbia,DC,63
Full range,AMC stock,Florida,FL,80
Full range,AMC stock,Georgia,GA,67
Full range,AMC stock,Hawaii,HI,88
Full range,AMC stock,Idaho,ID,55
Full range,AMC stock,Illinois,IL,89
Full range,AMC stock,Indiana,IN,65
Full range,AMC stock,Iowa,IA,63
Full range,AMC stock,Kansas,KS,89
Full range,AMC stock,Kentucky,KY,53
Full range,AMC stock,Louisiana,LA,54
Full range,AMC stock,Maine,ME,54
Full range,AMC stock,Maryland,MD,79
Full range,AMC stock,Massachusetts,MA,85
Full range,AMC stock,Michigan,MI,76
Full range,AMC stock,Minnesota,MN,86
Full range,AMC stock,Mississippi,MS,36
Full range,AMC stock,Missouri,MO,68
Full range,AMC stock,Montana,MT,58
Full range,AMC stock,Nebraska,NE,69
Full range,AMC stock,Nevada,NV,95
Full range,AMC stock,New Hampshire,NH,81
Full range,AMC stock,New Jersey,NJ,100
Full range,AMC stock,New Mexico,NM,54
Full range,AMC stock,New York,NY,79
Full range,AMC stock,North Carolina,NC,59
Full range,AMC stock,North Dakota,ND,83
Full range,AMC stock,Ohio,OH,74
Full range,AMC stock,Oklahoma,OK,54
Full range,AMC stock,Oregon,OR,73
Full range,AMC stock,Pennsylvania,PA,76
Full range,AMC stock,Rhode Island,RI,71
Full range,AMC stock,South Carolina,SC,55
Full range,AMC stock,South Dakota,SD,60
Full range,AMC stock,Tennessee,TN,57
Full range,AMC stock,Texas,TX,70
Full range,AMC stock,Utah,UT,57
Full range,AMC stock,Vermont,VT,65
Full range,AMC stock,Virginia,VA,75
Full range,AMC stock,Washington,WA,91
Full range,AMC stock,West Virginia,WV,47
Full range,AMC stock,Wisconsin,WI,72
Full range,AMC stock,Wyoming,WY,50
