window,term,state,state_code,interest
Full range,BBBY stock,Alabama,AL,34
Full range,BBBY stock,Alaska,AK,41
Full range,BBBY stock,Arizona,AZ,50
Full range,BBBY stock,Arkansas,AR,38
Full range,BBBY stock,California,CA,73
Full range,BBBY stock,Colorado,CO,47
Full range,BBBY stock,Connecticut,CT,58
Full range,BBBY stock,Delaware,DE,46
Full range,BBBY stock,District of Columbia,DC,59
Full range,BBBY stock,Florida,FL,58
Full range,BBBY stock,Georgia,GA,44
Full range,BBBY stock,Hawaii,HI,47
Full range,BBBY stock,Idaho,ID,36
Full range,BBBY stock,Illinois,IL,64
Full range,BBBY stock,Indiana,IN,39
Full range,BBBY stock,Iowa,IA,41
Full range,BBBY stock,Kansas,KS,41
Full range,BBBY stock,Kentucky,KY,29
Full range,BBBY stock,Louisiana,LA,29
Full range,BBBY stock,Maine,ME,48
Full range,BBBY stock,Maryland,MD,60
Full range,BBBY stock,Massachusetts,MA,74
Full range,BBBY stock,Michigan,MI,55
Full range,BBBY stock,Minnesota,MN,51
Full range,BBBY stock,Mississippi,MS,17
Full range,BBBY stock,Missouri,MO,42
Full range,BBBY stock,Montana,MT,39
Full range,BBBY stock,Nebraska,NE,47
Full range,BBBY stock,Nevada,NV,54
Full range,BBBY stock,New Hampshire,NH,58
Full range,BBBY stock,New Jersey,NJ,100
Full range,BBBY stock,New Mexico,NM,40
Full range,BBBY stock,New York,NY,70
Full range,BBBY stock,North Carolina,NC,45
Full range,BBBY stock,North Dakota,ND,49
Full range,BBBY stock,Ohio,OH,40
Full range,BBBY stock,Oklahoma,OK,29
Full range,BBBY stock,Oregon,OR,47
Full range,BBBY stock,Pennsylvania,PA,51
Full range,BBBY stock,Rhode Island,RI,56
Full range,BBBY stock,South Carolina,SC,36
Full range,BBBY stock,South Dakota,SD,42
Full range,BBBY stock,Tennessee,TN,30
Full range,BBBY stock,Texas,TX,48
Full range,BBBY stock,Utah,UT,41
Full range,BBBY stock,Vermont,VT,65
Full range,BBBY stock,Virginia,VA,55
Full range,BBBY stock,Washington,WA,58
Full range,BBBY stock,West Virginia,WV,23
Full range,BBBY stock,Wisconsin,WI,59
Full range,BBBY stock,Wyoming,WY,57
