window,term,state,state_code,interest
Full range,GameStop,Alabama,AL,89
Full range,GameStop,Alaska,AK,64
Full range,GameStop,Arizona,AZ,82
Full range,GameStop,Arkansas,AR,70
Full range,GameStop,California,CA,73
Full range,GameStop,Colorado,CO,62
Full range,GameStop,Connecticut,CT,70
Full range,GameStop,Delaware,DE,90
Full range,GameStop,District of Columbia,DC,41
Full range,GameStop,Florida,FL,75
Full range,GameStop,Georgia,GA,80
Full range,GameStop,Hawaii,HI,69
Full range,GameStop,Idaho,ID,66
Full range,GameStop,Illinois,IL,80
Full range,GameStop,Indiana,IN,82
Full range,GameStop,Iowa,IA,64
Full range,GameStop,Kansas,KS,63
Full range,GameStop,Kentucky,KY,99
Full range,GameStop,Louisiana,LA,92
Full range,GameStop,Maine,ME,59
Full range,GameStop,Maryland,MD,75
Full range,GameStop,Massachusetts,MA,65
Full range,GameStop,Michigan,MI,79
Full range,GameStop,Minnesota,MN,56
Full range,GameStop,Mississippi,MS,99
Full range,GameStop,Missouri,MO,78
Full range,GameStop,Montana,MT,56
Full range,GameStop,Nebraska,NE,64
Full range,GameStop,Nevada,NV,83
Full range,GameStop,New Hampshire,NH,71
Full range,GameStop,New Jersey,NJ,71
Full range,GameStop,New Mexico,NM,82
Full range,GameStop,New York,NY,66
Full range,GameStop,North Carolina,NC,78
Full range,GameStop,North Dakota,ND,54
Full range,GameStop,Ohio,OH,92
Full range,GameStop,Oklahoma,OK,79
Full range,GameStop,Oregon,OR,63
Full range,GameStop,Pennsylvania,PA,81
Full range,GameStop,Rhode Island,RI,82
Full range,GameStop,South Carolina,SC,89
Full range,GameStop,South Dakota,SD,56
Full range,GameStop,Tennessee,TN,84
Full range,GameStop,Texas,TX,85
Full range,GameStop,Utah,UT,61
Full range,GameStop,Vermont,VT,57
Full range,GameStop,Virginia,VA,74
Full range,GameStop,Washington,WA,62
Full range,GameStop,West Virginia,WV,100
Full range,GameStop,Wisconsin,WI,68
Full range,GameStop,Wyoming,WY,63
