window,term,state,state_code,interest
Full range,WallStreetBets,Alabama,AL,41
Full range,WallStreetBets,Alaska,AK,71
Full range,WallStreetBets,Arizona,AZ,65
Full range,WallStreetBets,Arkansas,AR,43
Full range,WallStreetBets,California,CA,100
Full range,WallStreetBets,Colorado,CO,77
Full range,WallStreetBets,Connecticut,CT,79
Full range,WallStreetBets,Delaware,DE,56
Full range,WallStreetBets,District of Columbia,DC,82
Full range,WallStreetBets,Florida,FL,68
Full range,WallStreetBets,Georgia,GA,58
Full range,WallStreetBets,Hawaii,HI,96
Full range,WallStreetBets,Idaho,ID,52
Full range,WallStreetBets,Illinois,IL,70
Full range,WallStreetBets,Indiana,IN,49
Full range,WallStreetBets,Iowa,IA,56
Full range,WallStreetBets,Kansas,KS,52
Full range,WallStreetBets,Kentucky,KY,44
Full range,WallStreetBets,Louisiana,LA,47
Full range,WallStreetBets,Maine,ME,70
Full range,WallStreetBets,Maryland,MD,78
Full range,WallStreetBets,Massachusetts,MA,91
Full range,WallStreetBets,Michigan,MI,72
Full range,WallStreetBets,Minnesota,MN,73
Full range,WallStreetBets,Mississippi,MS,36
Full range,WallStreetBets,Missouri,MO,55
Full range,WallStreetBets,Montana,MT,76
Full range,WallStreetBets,Nebraska,NE,60
Full range,WallStreetBets,Nevada,NV,63
Full range,WallStreetBets,New Hampshire,NH,73
Full range,WallStreetBets,New Jersey,NJ,80
Full range,WallStreetBets,New Mexico,NM,46
Full range,WallStreetBets,New York,NY,81
Full range,WallStreetBets,North Carolina,NC,60
Full range,WallStreetBets,North Dakota,ND,81
Full range,WallStreetBets,Ohio,OH,56
Full range,WallStreetBets,Oklahoma,OK,46
Full range,WallStreetBets,Oregon,OR,73
Full range,WallStreetBets,Pennsylvania,PA,69
Full range,WallStreetBets,Rhode Island,RI,73
Full range,WallStreetBets,South Carolina,SC,46
Full range,WallStreetBets,South Dakota,SD,56
Full range,WallStreetBets,Tennessee,TN,54
Full range,WallStreetBets,Texas,TX,67
Full range,WallStreetBets,Utah,UT,61
Full range,WallStreetBets,Vermont,VT,67
Full range,WallStreetBets,Virginia,VA,72
Full range,WallStreetBets,Washington,WA,100
Full range,WallStreetBets,West Virginia,WV,43
Full range,WallStreetBets,Wisconsin,WI,66
Full range,WallStreetBets,Wyoming,WY,44
