window,term,state,state_code,interest
January 2021 squeeze,AMC stock,Alabama,AL,36
January 2021 squeeze,AMC stock,Alaska,AK,52
January 2021 squeeze,AMC stock,Arizona,AZ,63
January 2021 squeeze,AMC stock,Arkansas,AR,38
January 2021 squeeze,AMC stock,California,CA,76
January 2021 squeeze,AMC stock,Colorado,CO,71
January 2021 squeeze,AMC stock,Connecticut,CT,73
January 2021 squeeze,AMC stock,Delaware,DE,56
January 2021 squeeze,AMC stock,District of Columbia,DC,84
January 2021 squeeze,AMC stock,Florida,FL,67
January 2021 squeeze,AMC stock,Georgia,GA,54
January 2021 squeeze,AMC stock,Hawaii,HI,65
January 2021 squeeze,AMC stock,Idaho,ID,47
January 2021 squeeze,AMC stock,Illinois,IL,76
January 2021 squeeze,AMC stock,Indiana,IN,54
January 2021 squeeze,AMC stock,Iowa,IA,50
January 2021 squeeze,AMC stock,Kansas,KS,61
January 2021 squeeze,AMC stock,Kentucky,KY,44
January 2021 squeeze,AMC stock,Louisiana,LA,40
January 2021 squeeze,AMC stock,Maine,ME,51
January 2021 squeeze,AMC stock,Maryland,MD,70
January 2021 squeeze,AMC stock,Massachusetts,MA,94
January 2021 squeeze,AMC stock,Michigan,MI,65
January 2021 squeeze,AMC stock,Minnesota,MN,74
January 2021 squeeze,AMC stock,Mississippi,MS,27
January 2021 squeeze,AMC stock,Missouri,MO,59
January 2021 squeeze,AMC stock,Montana,MT,47
January 2021 squeeze,AMC stock,Nebraska,NE,54
January 2021 squeeze,AMC stock,Nevada,NV,68
January 2021 squeeze,AMC stock,New Hampshire,NH,68
January 2021 squeeze,AMC stock,New Jersey,NJ,100
January 2021 squeeze,AMC stock,New Mexico,NM,37
January 2021 squeeze,AMC stock,New York,NY,69
January 2021 squeeze,AMC stock,North Carolina,NC,57
January 2021 squeeze,AMC stock,North Dakota,ND,64
January 2021 squeeze,AMC stock,Ohio,OH,62
January 2021 squeeze,AMC stock,Oklahoma,OK,39
January 2021 squeeze,AMC stock,Oregon,OR,64
January 2021 squeeze,AMC stock,Pennsylvania,PA,70
January 2021 squeeze,AMC stock,Rhode Island,RI,69
January 2021 squeeze,AMC stock,South Carolina,SC,43
January 2021 squeeze,AMC stock,South Dakota,SD,50
January 2021 squeeze,AMC stock,Tennessee,TN,46
January 2021 squeeze,AMC stock,Texas,TX,57
January 2021 squeeze,AMC stock,Utah,UT,50
January 2021 squeeze,AMC stock,Vermont,VT,54
January 2021 squeeze,AMC stock,Virginia,VA,71
January 2021 squeeze,AMC stock,Washington,WA,85
January 2021 squeeze,AMC stock,West Virginia,WV,37
January 2021 squeeze,AMC stock,Wisconsin,WI,57
January 2021 squeeze,AMC stock,Wyoming,WY,43
