window,term,state,state_code,interest
January 2021 squeeze,BBBY stock,Alabama,AL,27
January 2021 squeeze,BBBY stock,Alaska,AK,0
January 2021 squeeze,BBBY stock,Arizona,AZ,37
January 2021 squeeze,BBBY stock,Arkansas,AR,34
January 2021 squeeze,BBBY stock,California,CA,54
January 2021 squeeze,BBBY stock,Colorado,CO,45
January 2021 squeeze,BBBY stock,Connecticut,CT,69
January 2021 squeeze,BBBY stock,Delaware,DE,42
January 2021 squeeze,BBBY stock,District of Columbia,DC,69
January 2021 squeeze,BBBY stock,Florida,FL,41
January 2021 squeeze,BBBY stock,Georgia,GA,33
January 2021 squeeze,BBBY stock,Hawaii,HI,49
January 2021 squeeze,BBBY stock,Idaho,ID,30
January 2021 squeeze,BBBY stock,Illinois,IL,55
January 2021 squeeze,BBBY stock,Indiana,IN,29
January 2021 squeeze,BBBY stock,Iowa,IA,31
January 2021 squeeze,BBBY stock,Kansas,KS,41
January 2021 squeeze,BBBY stock,Kentucky,KY,19
January 2021 squeeze,BBBY stock,Louisiana,LA,23
January 2021 squeeze,BBBY stock,Maine,ME,38
January 2021 squeeze,BBBY stock,Maryland,MD,47
January 2021 squeeze,BBBY stock,Massachusetts,MA,60
January 2021 squeeze,BBBY stock,Michigan,MI,44
January 2021 squeeze,BBBY stock,Minnesota,MN,40
January 2021 squeeze,BBBY stock,Mississippi,MS,13
January 2021 squeeze,BBBY stock,Missouri,MO,34
January 2021 squeeze,BBBY stock,Montana,MT,0
January 2021 squeeze,BBBY stock,Nebraska,NE,29
January 2021 squeeze,BBBY stock,Nevada,NV,50
January 2021 squeeze,BBBY stock,New Hampshire,NH,48
January 2021 squeeze,BBBY stock,New Jersey,NJ,100
January 2021 squeeze,BBBY stock,New Mexico,NM,30
January 2021 squeeze,BBBY stock,New York,NY,61
January 2021 squeeze,BBBY stock,North Carolina,NC,36
January 2021 squeeze,BBBY stock,North Dakota,ND,0
January 2021 squeeze,BBBY stock,Ohio,OH,30
January 2021 squeeze,BBBY stock,Oklahoma,OK,21
January 2021 squeeze,BBBY stock,Oregon,OR,35
January 2021 squeeze,BBBY stock,Pennsylvania,PA,46
January 2021 squeeze,BBBY stock,Rhode Island,RI,43
January 2021 squeeze,BBBY stock,South Carolina,SC,37
January 2021 squeeze,BBBY stock,South Dakota,SD,0
January 2021 squeeze,BBBY stock,Tennessee,TN,26
January 2021 squeeze,BBBY stock,Texas,TX,34
January 2021 squeeze,BBBY stock,Utah,UT,28
January 2021 squeeze,BBBY stock,Vermont,VT,58
January 2021 squeeze,BBBY stock,Virginia,VA,55
January 2021 squeeze,BBBY stock,Washington,WA,54
January 2021 squeeze,BBBY stock,West Virginia,WV,0
January 2021 squeeze,BBBY stock,Wisconsin,WI,35
January 2021 squeeze,BBBY stock,Wyoming,WY,0
