window,term,state,state_code,interest
January 2021 squeeze,GameStop,Alabama,AL,73
January 2021 squeeze,GameStop,Alaska,AK,77
January 2021 squeeze,GameStop,Arizona,AZ,79
January 2021 squeeze,GameStop,Arkansas,AR,67
January 2021 squeeze,GameStop,California,CA,94
January 2021 squeeze,GameStop,Colorado,CO,85
January 2021 squeeze,GameStop,Connecticut,CT,95
January 2021 squeeze,GameStop,Delaware,DE,75
January 2021 squeeze,GameStop,District of Columbia,DC,80
January 2021 squeeze,GameStop,Florida,FL,75
January 2021 squeeze,GameStop,Georgia,GA,74
January 2021 squeeze,GameStop,Hawaii,HI,71
January 2021 squeeze,GameStop,Idaho,ID,74
January 2021 squeeze,GameStop,Illinois,IL,92
January 2021 squeeze,GameStop,Indiana,IN,83
January 2021 squeeze,GameStop,Iowa,IA,75
January 2021 squeeze,GameStop,Kansas,KS,78
January 2021 squeeze,GameStop,Kentucky,KY,87
January 2021 squeeze,GameStop,Louisiana,LA,73
January 2021 squeeze,GameStop,Maine,ME,68
January 2021 squeeze,GameStop,Maryland,MD,90
January 2021 squeeze,GameStop,Massachusetts,MA,100
January 2021 squeeze,GameStop,Michigan,MI,92
January 2021 squeeze,GameStop,Minnesota,MN,87
January 2021 squeeze,GameStop,Mississippi,MS,64
January 2021 squeeze,GameStop,Missouri,MO,82
January 2021 squeeze,GameStop,Montana,MT,68
January 2021 squeeze,GameStop,Nebraska,NE,79
January 2021 squeeze,GameStop,Nevada,NV,89
January 2021 squeeze,GameStop,New Hampshire,NH,95
January 2021 squeeze,GameStop,New Jersey,NJ,98
January 2021 squeeze,GameStop,New Mexico,NM,75
January 2021 squeeze,GameStop,New York,NY,90
January 2021 squeeze,GameStop,North Carolina,NC,84
January 2021 squeeze,GameStop,North Dakota,ND,79
January 2021 squeeze,GameStop,Ohio,OH,87
January 2021 squeeze,GameStop,Oklahoma,OK,72
January 2021 squeeze,GameStop,Oregon,OR,86
January 2021 squeeze,GameStop,Pennsylvania,PA,92
January 2021 squeeze,GameStop,Rhode Island,RI,84
January 2021 squeeze,GameStop,South Carolina,SC,73
January 2021 squeeze,GameStop,South Dakota,SD,66
January 2021 squeeze,GameStop,Tennessee,TN,72
January 2021 squeeze,GameStop,Texas,TX,79
January 2021 squeeze,GameStop,Utah,UT,80
January 2021 squeeze,GameStop,Vermont,VT,81
January 2021 squeeze,GameStop,Virginia,VA,91
January 2021 squeeze,GameStop,Washington,WA,88
January 2021 squeeze,GameStop,West Virginia,WV,77
January 2021 squeeze,GameStop,Wisconsin,WI,85
January 2021 squeeze,GameStop,Wyoming,WY,65
