window,term,state,state_code,interest
January 2021 squeeze,WallStreetBets,Alabama,AL,48
January 2021 squeeze,WallStreetBets,Alaska,AK,78
January 2021 squeeze,WallStreetBets,Arizona,AZ,61
January 2021 squeeze,WallStreetBets,Arkansas,AR,52
January 2021 squeeze,WallStreetBets,California,CA,96
January 2021 squeeze,WallStreetBets,Colorado,CO,76
January 2021 squeeze,WallStreetBets,Connecticut,CT,82
January 2021 squeeze,WallStreetBets,Delaware,DE,59
January 2021 squeeze,WallStreetBets,District of Columbia,DC,98
January 2021 squeeze,WallStreetBets,Florida,FL,67
January 2021 squeeze,WallStreetBets,Georgia,GA,56
January 2021 squeeze,WallStreetBets,Hawaii,HI,100
January 2021 squeeze,WallStreetBets,Idaho,ID,58
January 2021 squeeze,WallStreetBets,Illinois,IL,80
January 2021 squeeze,WallStreetBets,Indiana,IN,56
January 2021 squeeze,WallStreetBets,Iowa,IA,64
January 2021 squeeze,WallStreetBets,Kansas,KS,65
January 2021 squeeze,WallStreetBets,Kentucky,KY,56
January 2021 squeeze,WallStreetBets,Louisiana,LA,49
January 2021 squeeze,WallStreetBets,Maine,ME,78
January 2021 squeeze,WallStreetBets,Maryland,MD,69
January 2021 squeeze,WallStreetBets,Massachusetts,MA,92
January 2021 squeeze,WallStreetBets,Michigan,MI,66
January 2021 squeeze,WallStreetBets,Minnesota,MN,72
January 2021 squeeze,WallStreetBets,Mississippi,MS,40
January 2021 squeeze,WallStreetBets,Missouri,MO,59
January 2021 squeeze,WallStreetBets,Montana,MT,64
January 2021 squeeze,WallStreetBets,Nebraska,NE,61
January 2021 squeeze,WallStreetBets,Nevada,NV,72
January 2021 squeeze,WallStreetBets,New Hampshire,NH,86
January 2021 squeeze,WallStreetBets,New Jersey,NJ,93
January 2021 squeeze,WallStreetBets,New Mexico,NM,46
January 2021 squeeze,WallStreetBets,New York,NY,85
January 2021 squeeze,WallStreetBets,North Carolina,NC,56
January 2021 squeeze,WallStreetBets,North Dakota,ND,81
January 2021 squeeze,WallStreetBets,Ohio,OH,60
January 2021 squeeze,WallStreetBets,Oklahoma,OK,53
January 2021 squeeze,WallStreetBets,Oregon,OR,80
January 2021 squeeze,WallStreetBets,Pennsylvania,PA,72
January 2021 squeeze,WallStreetBets,Rhode Island,RI,81
January 2021 squeeze,WallStreetBets,South Carolina,SC,52
January 2021 squeeze,WallStreetBets,South Dakota,SD,57
January 2021 squeeze,WallStreetBets,Tennessee,TN,54
January 2021 squeeze,WallStreetBets,Texas,TX,68
January 2021 squeeze,WallStreetBets,Utah,UT,75
January 2021 squeeze,WallStreetBets,Vermont,VT,76
January 2021 squeeze,WallStreetBets,Virginia,VA,78
January 2021 squeeze,WallStreetBets,Washington,WA,91
January 2021 squeeze,WallStreetBets,West Virginia,WV,46
January 2021 squeeze,WallStreetBets,Wisconsin,WI,62
January 2021 squeeze,WallStreetBets,Wyoming,WY,54
